,date,chain,relays,nodes
0,2022-06-28,0009,262516561,14542
1,2022-06-28,0040,272949539,13912
2,2022-06-28,0004,55065862,4075
3,2022-06-28,0049,45253518,6818
4,2022-06-28,0021,70933143,12208
5,2022-06-28,0027,105889648,14182
6,2022-06-28,03DF,4575975,4955
7,2022-06-28,0005,29041160,5453
15,2022-06-29,0005,26961299,5325
14,2022-06-29,03DF,4516720,4761
13,2022-06-29,0027,107906759,14144
12,2022-06-29,0021,52752758,12367
9,2022-06-29,0040,283011449,14032
10,2022-06-29,0004,49919874,4357
8,2022-06-29,0009,235595659,14756
11,2022-06-29,0049,46530081,7007
21,2022-06-30,0027,122093374,14723
23,2022-06-30,0005,43253005,5469
22,2022-06-30,03DF,5012413,5061
20,2022-06-30,0021,58742661,12751
17,2022-06-30,0040,276740021,14313
18,2022-06-30,0004,51728896,4403
16,2022-06-30,0009,228667380,15153
19,2022-06-30,0049,43094174,7206
24,2022-07-01,0009,233254953,14611
25,2022-07-01,0040,287384909,13772
26,2022-07-01,0004,54487208,4454
27,2022-07-01,0049,41809525,7180
28,2022-07-01,0021,58346641,12263
29,2022-07-01,0027,116819935,14254
30,2022-07-01,03DF,4337443,4960
31,2022-07-01,0005,32990160,5254
37,2022-07-02,0027,127812293,13135
39,2022-07-02,0005,31169176,4892
38,2022-07-02,03DF,4462690,4552
36,2022-07-02,0021,67159350,11415
33,2022-07-02,0040,297033484,12849
34,2022-07-02,0004,55457740,4201
32,2022-07-02,0009,148908865,13568
35,2022-07-02,0049,19389533,6788
40,2022-07-03,0009,174261999,13274
41,2022-07-03,0040,274879958,12596
42,2022-07-03,0004,54163405,4308
43,2022-07-03,0049,19576499,6687
44,2022-07-03,0021,137684439,11272
45,2022-07-03,0027,139144727,12966
46,2022-07-03,03DF,4361466,4560
47,2022-07-03,0005,32098650,4929
55,2022-07-04,0005,32228570,5034
54,2022-07-04,03DF,5887178,4541
53,2022-07-04,0027,138647359,13044
52,2022-07-04,0021,151524533,11330
51,2022-07-04,0049,22615026,6789
49,2022-07-04,0040,271699188,12691
48,2022-07-04,0009,183327381,13402
50,2022-07-04,0004,55007113,4389
56,2022-07-05,0009,189612860,13879
57,2022-07-05,0040,288711432,13143
58,2022-07-05,0004,51138529,4301
59,2022-07-05,0049,23873038,6937
60,2022-07-05,0021,93482724,11743
61,2022-07-05,0027,153209346,13540
62,2022-07-05,03DF,8248615,4813
63,2022-07-05,0005,91862437,5137
70,2022-07-06,03DF,4416151,5297
71,2022-07-06,0005,69205375,5741
68,2022-07-06,0021,138810630,12803
69,2022-07-06,0027,154254411,14717
66,2022-07-06,0004,47205718,4344
67,2022-07-06,0049,26052933,7235
65,2022-07-06,0040,338298540,14494
64,2022-07-06,0009,212762929,15211
72,2022-07-07,0009,213466536,15157
73,2022-07-07,0040,310780435,14413
74,2022-07-07,0004,40351472,4453
75,2022-07-07,0049,25960541,7196
76,2022-07-07,0021,166992532,12792
77,2022-07-07,0027,148560245,14735
78,2022-07-07,03DF,4140284,5307
79,2022-07-07,0005,52593830,5727
87,2022-07-08,0005,47241585,5699
86,2022-07-08,03DF,4735884,5303
85,2022-07-08,0027,131818966,14633
84,2022-07-08,0021,101702640,12728
83,2022-07-08,0049,25070398,7180
82,2022-07-08,0004,41153312,4361
81,2022-07-08,0040,307356038,14193
80,2022-07-08,0009,205350998,14963
88,2022-07-09,0009,202020495,14907
89,2022-07-09,0040,287810752,14150
90,2022-07-09,0004,31517549,3844
91,2022-07-09,0049,24656217,7079
92,2022-07-09,0021,96237252,12647
93,2022-07-09,0027,107474645,14590
94,2022-07-09,03DF,4116983,5229
95,2022-07-09,0005,43554532,5714
102,2022-07-10,03DF,6626054,5312
101,2022-07-10,0027,105474021,14501
100,2022-07-10,0021,91813182,12657
103,2022-07-10,0005,42793450,5695
98,2022-07-10,0004,36676586,3865
97,2022-07-10,0040,307186011,14250
96,2022-07-10,0009,198500442,14996
99,2022-07-10,0049,24547341,7104
104,2022-07-11,0009,190157039,14898
105,2022-07-11,0040,335983811,14033
106,2022-07-11,0004,30276690,3755
107,2022-07-11,0049,24874398,6996
108,2022-07-11,0021,107975188,12577
109,2022-07-11,0027,99590666,14483
110,2022-07-11,03DF,6333764,5242
111,2022-07-11,0005,41046220,5644
118,2022-07-12,03DF,7463369,5386
117,2022-07-12,0027,97673997,14788
116,2022-07-12,0021,132457053,12774
119,2022-07-12,0005,44394125,5765
114,2022-07-12,0004,33809109,3808
113,2022-07-12,0040,346279925,14280
112,2022-07-12,0009,209573955,15128
115,2022-07-12,0049,31189959,7344
126,2022-07-13,03DF,8086105,5338
125,2022-07-13,0027,99288697,14627
124,2022-07-13,0021,184792330,12748
127,2022-07-13,0005,44218380,5728
122,2022-07-13,0004,33926277,3868
121,2022-07-13,0040,321985172,14222
120,2022-07-13,0009,216577583,15017
123,2022-07-13,0049,27464019,7307
128,2022-07-15,0009,218017892,14616
129,2022-07-15,0040,275329668,13889
130,2022-07-15,0004,33783605,3754
131,2022-07-15,0049,25003710,7139
132,2022-07-15,0021,221872079,12316
133,2022-07-15,0027,96359246,14252
134,2022-07-15,03DF,7417813,5241
135,2022-07-15,0005,45269970,5660
141,2022-07-16,0027,88862899,14311
143,2022-07-16,0005,48100081,5581
142,2022-07-16,03DF,11586573,5342
140,2022-07-16,0021,195706509,12445
137,2022-07-16,0040,219951684,13950
138,2022-07-16,0004,42905234,3876
139,2022-07-16,0049,25842568,7148
136,2022-07-16,0009,213745101,14668
144,2022-07-17,0009,212603074,14667
145,2022-07-17,0040,222135188,13877
146,2022-07-17,0004,60924019,3852
147,2022-07-17,0049,24602759,7273
148,2022-07-17,0021,203716629,12414
149,2022-07-17,0027,93928496,14271
150,2022-07-17,03DF,12948727,5234
151,2022-07-17,0005,47467348,5532
159,2022-07-18,0005,48394143,5530
158,2022-07-18,03DF,14419676,5250
157,2022-07-18,0027,98669797,14244
156,2022-07-18,0021,226588242,12347
152,2022-07-18,0009,216277958,14581
154,2022-07-18,0004,68930373,3801
153,2022-07-18,0040,225662972,13925
155,2022-07-18,0049,25990997,7218
165,2022-07-19,0027,101015306,14437
167,2022-07-19,0005,49225553,5618
166,2022-07-19,03DF,20513489,5295
164,2022-07-19,0021,241926079,12544
160,2022-07-19,0009,221936711,14739
162,2022-07-19,0004,62443785,3887
161,2022-07-19,0040,232498406,14054
163,2022-07-19,0049,28779635,7283
168,2022-07-21,0009,231947994,14875
169,2022-07-21,0040,244390896,14259
170,2022-07-21,0004,61841077,3869
171,2022-07-21,0049,31206227,7374
172,2022-07-21,0021,133322339,12722
173,2022-07-21,0027,98035580,14613
174,2022-07-21,03DF,30403212,5354
175,2022-07-21,0005,50372274,5699
181,2022-07-22,0027,100533432,14354
183,2022-07-22,0005,49840678,5544
182,2022-07-22,03DF,30559052,5225
180,2022-07-22,0021,126410384,12373
176,2022-07-22,0009,227043044,14686
178,2022-07-22,0004,62850376,3769
177,2022-07-22,0040,224700394,13967
179,2022-07-22,0049,30537946,7146
184,2022-07-23,0009,237380679,15112
185,2022-07-23,0040,236354755,14453
186,2022-07-23,0004,72659384,3758
187,2022-07-23,0049,31985044,7391
188,2022-07-23,0021,117678728,12781
189,2022-07-23,0027,111359667,14707
190,2022-07-23,03DF,29359780,5392
191,2022-07-23,0005,53906051,5768
199,2022-07-24,0005,51380423,5651
198,2022-07-24,03DF,30787251,5342
197,2022-07-24,0027,110563696,14528
196,2022-07-24,0021,109093785,12643
194,2022-07-24,0004,66894645,3722
193,2022-07-24,0040,236763644,14263
192,2022-07-24,0009,225588114,14920
195,2022-07-24,0049,29734570,7328
200,2022-07-25,0009,230745281,14877
201,2022-07-25,0040,252652672,14190
202,2022-07-25,0004,58456334,3706
203,2022-07-25,0049,30672191,7343
204,2022-07-25,0021,100880933,12627
205,2022-07-25,0027,109894217,14518
206,2022-07-25,03DF,32172012,5301
207,2022-07-25,0005,53312800,5630
213,2022-07-26,0027,108371816,14437
215,2022-07-26,0005,44424416,5545
214,2022-07-26,03DF,32471160,5250
212,2022-07-26,0021,152285588,12388
208,2022-07-26,0009,231623112,14592
210,2022-07-26,0004,67430774,3569
211,2022-07-26,0049,30555762,7234
209,2022-07-26,0040,275708114,14035
216,2022-07-29,0009,261992022,14108
217,2022-07-29,0040,272535106,13363
218,2022-07-29,0004,73755973,3450
219,2022-07-29,0049,32725915,6892
220,2022-07-29,0021,210937668,11768
221,2022-07-29,0027,127779972,13681
222,2022-07-29,03DF,28629209,4988
223,2022-07-29,0005,35823415,5309
228,2022-07-30,0021,182429439,11489
231,2022-07-30,0005,27042658,5166
230,2022-07-30,03DF,27125340,4786
229,2022-07-30,0027,133650291,13305
227,2022-07-30,0049,32726103,6654
226,2022-07-30,0004,81007210,3030
225,2022-07-30,0040,249691493,12964
224,2022-07-30,0009,260451357,13607
232,2022-07-31,0009,247923700,13705
233,2022-07-31,0040,231244036,13051
234,2022-07-31,0004,75413492,3011
235,2022-07-31,0049,32303940,6666
236,2022-07-31,0021,180195264,11506
237,2022-07-31,0027,137484093,13275
238,2022-07-31,03DF,28442518,4768
239,2022-07-31,0005,23475015,5201
246,2022-08-01,03DF,30661048,4842
245,2022-08-01,0027,145452698,13452
247,2022-08-01,0005,23942868,5270
244,2022-08-01,0021,201466552,11650
242,2022-08-01,0004,70377788,3067
241,2022-08-01,0040,231064979,13125
240,2022-08-01,0009,248331580,13820
243,2022-08-01,0049,32469406,6736
248,2022-08-02,0009,245348970,14073
249,2022-08-02,0040,229663558,13509
250,2022-08-02,0004,74452474,3084
251,2022-08-02,0049,31443243,6903
252,2022-08-02,0021,177989201,12012
253,2022-08-02,0027,137844791,13793
254,2022-08-02,03DF,32443301,4972
255,2022-08-02,0005,24466995,5397
263,2022-08-05,0005,28529413,5352
262,2022-08-05,03DF,32767720,5042
261,2022-08-05,0027,96530926,13567
260,2022-08-05,0021,291447082,11896
259,2022-08-05,0049,33070376,6916
257,2022-08-05,0040,219435502,13388
256,2022-08-05,0009,248717242,13871
258,2022-08-05,0004,64673550,3162
264,2022-08-06,0009,245438095,13887
265,2022-08-06,0040,219217858,13212
266,2022-08-06,0004,59410404,3106
267,2022-08-06,0049,34000243,6915
268,2022-08-06,0021,210350673,11809
269,2022-08-06,0027,81495336,13502
270,2022-08-06,03DF,35428434,5017
271,2022-08-06,0005,29238674,5345
277,2022-08-07,0027,88648839,13194
279,2022-08-07,0005,28468493,5208
278,2022-08-07,03DF,44137948,4887
276,2022-08-07,0021,209426552,11493
275,2022-08-07,0049,32111585,6666
274,2022-08-07,0004,56794339,3017
273,2022-08-07,0040,222870299,12932
272,2022-08-07,0009,232406719,13559
280,2022-08-08,0009,230313509,13983
281,2022-08-08,0040,249370340,13378
282,2022-08-08,0004,55057620,3113
283,2022-08-08,0049,32035067,7022
284,2022-08-08,0021,305264697,11914
285,2022-08-08,0027,86761583,13739
286,2022-08-08,03DF,44441639,5143
287,2022-08-08,0005,29132450,5414
295,2022-08-09,0005,30348534,5081
294,2022-08-09,03DF,42305935,4802
293,2022-08-09,0027,86450863,13031
292,2022-08-09,0021,226711857,11319
