,date,gateway,chain,relays,relays_norm
0,2022-06-28,ap-east-1,0009,30497085,0.11617204218974969
75,2022-06-28,us-east-1,0027,730491,0.006898606368018146
74,2022-06-28,eu-west-3,0027,904161,0.00853871003518682
73,2022-06-28,eu-west-2,0027,487943,0.004608033072316947
72,2022-06-28,eu-west-1,0027,16560,0.00015638922512992015
71,2022-06-28,eu-south-1,0027,344870,0.003256881163680892
70,2022-06-28,eu-north-1,0027,1399341,0.013215087843147802
69,2022-06-28,eu-central-1,0027,2750312,0.025973379380768175
68,2022-06-28,ca-central-1,0027,95651,0.0009033083196196856
67,2022-06-28,ap-southeast-1,0027,53282525,0.5031891786060144
66,2022-06-28,ap-northeast-2,0027,60275994,0.5692340577050553
76,2022-06-28,us-east-2,0027,4012187,0.037890266667049456
65,2022-06-28,ap-east-1,0027,6723823,0.06349839787927145
63,2022-06-28,us-east-2,0021,4912242,0.06925171777599083
62,2022-06-28,us-east-1,0021,7420441,0.10461176096482853
61,2022-06-28,eu-west-3,0021,1736767,0.02448456287916073
60,2022-06-28,eu-west-2,0021,2814070,0.03967214592479005
59,2022-06-28,eu-west-1,0021,297712,0.004197078931071756
58,2022-06-28,eu-south-1,0021,1246082,0.017566992625717995
57,2022-06-28,eu-north-1,0021,10044238,0.14160147957915808
56,2022-06-28,eu-central-1,0021,9897604,0.1395342653856463
55,2022-06-28,ca-central-1,0021,1389165,0.019584145594676385
54,2022-06-28,ap-southeast-1,0021,12294718,0.1733282564400114
64,2022-06-28,us-west-2,0021,6950360,0.09798466141560934
78,2022-06-28,ap-east-1,03DF,12820,0.0028015887324559247
79,2022-06-28,ap-northeast-2,03DF,121128,0.02647042433579729
80,2022-06-28,ap-southeast-1,03DF,367341,0.08027600675265927
103,2022-06-28,us-west-2,0005,162134,0.005582903713212558
102,2022-06-28,us-east-2,0005,173801,0.005984643864088073
101,2022-06-28,us-east-1,0005,2254661,0.07763674040568627
100,2022-06-28,eu-west-3,0005,426242,0.014677168542854349
99,2022-06-28,eu-west-2,0005,573307,0.019741188024169833
98,2022-06-28,eu-west-1,0005,15422,0.0005310393937432252
97,2022-06-28,eu-south-1,0005,244696,0.008425834229762171
96,2022-06-28,eu-north-1,0005,62921,0.002166614556718809
95,2022-06-28,eu-central-1,0005,20938608,0.720997646099536
94,2022-06-28,ca-central-1,0005,423146,0.014570561231025207
