,date,provider,QoS_tier,provider_sessions_by_node,provider_network_relays_by_node
0,2022-06-28,P1,A,0.32413793,8.569347e-05
1,2022-06-29,P1,A,0.37671232,9.607204e-05
2,2022-06-30,P1,A,0.26,5.5261295e-05
3,2022-07-01,P1,A,0.29801324,7.0538605e-05
4,2022-07-02,P1,A,0.38410595,7.365994e-05
5,2022-07-03,P1,A,0.43421054,9.373349e-05
6,2022-07-04,P1,A,0.3398693,7.0710696e-05
7,2022-07-05,P1,A,0.37908497,7.891584e-05
8,2022-07-06,P1,A,0.37662336,7.142103e-05
9,2022-07-07,P1,A,0.32903227,5.8542693e-05
10,2022-07-08,P1,A,0.4871795,0.00010544436
11,2022-07-09,P1,A,0.3846154,8.241095e-05
12,2022-07-10,P1,A,0.34810126,7.2426315e-05
13,2022-07-11,P1,A,0.34177214,7.098651e-05
14,2022-07-12,P1,A,0.3962264,6.9699294e-05
15,2022-07-13,P1,A,0.2875,5.4207972e-05
16,2022-07-15,P1,A,0.33333334,7.497678e-05
17,2022-07-16,P1,A,0.2962963,6.25516e-05
18,2022-07-17,P1,A,0.28834355,5.786547e-05
19,2022-07-18,P1,A,0.2804878,5.4972603e-05
20,2022-07-19,P1,A,0.2969697,4.885441e-05
21,2022-07-21,P1,A,0.36746988,6.626014e-05
22,2022-07-22,P1,A,0.4071856,7.370471e-05
23,2022-07-23,P1,A,0.30357143,5.0349237e-05
24,2022-07-24,P1,A,0.2366864,3.7879327e-05
25,2022-07-25,P1,A,0.3,5.043465e-05
26,2022-07-26,P1,A,0.33529413,5.4941018e-05
27,2022-07-29,P1,A,0.3372093,5.263413e-05
28,2022-07-30,P1,A,0.2947977,4.7631806e-05
29,2022-07-31,P1,A,0.20689656,3.3181605e-05
30,2022-08-01,P1,A,0.36206895,5.7699406e-05
31,2022-08-02,P1,A,0.31609195,5.5767694e-05
32,2022-08-05,P1,A,0.31609195,5.5375807e-05
33,2022-08-06,P1,A,0.41954023,8.826847e-05
34,2022-08-07,P1,A,0.3045977,5.7343685e-05
35,2022-08-08,P1,A,0.37931034,7.308675e-05
36,2022-08-09,P1,A,0.25862068,4.4147993e-05
37,2022-08-10,P1,A,0.33908045,6.4850385e-05
38,2022-08-11,P1,A,0.29310346,4.5422974e-05
39,2022-08-12,P1,A,0.3218391,4.4787626e-05
40,2022-08-13,P1,A,0.31034482,4.947605e-05
41,2022-08-14,P1,A,0.3448276,6.355548e-05
42,2022-08-15,P1,A,0.3275862,5.6001176e-05
43,2022-08-16,P1,A,0.35632184,5.6122422e-05
44,2022-08-17,P1,A,0.22413793,3.414624e-05
45,2022-08-18,P1,A,0.36206895,5.2407388e-05
46,2022-08-19,P1,A,0.3908046,5.324412e-05
47,2022-08-20,P1,A,0.33908045,5.414204e-05
48,2022-08-21,P1,A,0.37931034,6.524943e-05
49,2022-08-22,P1,A,0.44827586,7.202828e-05
50,2022-08-23,P1,A,0.31609195,4.395009e-05
51,2022-08-24,P1,A,0.3275862,5.1896666e-05
52,2022-08-25,P1,A,0.2816092,4.3564985e-05
53,2022-08-26,P1,A,0.3045977,4.2680065e-05
54,2022-08-27,P1,A,0.31034482,4.3577926e-05
55,2022-08-28,P1,A,0.2816092,3.8292284e-05
56,2022-08-29,P1,A,0.3448276,4.352344e-05
57,2022-08-30,P1,A,0.3275862,4.145657e-05
58,2022-08-31,P1,A,0.33333334,4.6355563e-05
59,2022-09-01,P1,A,0.3678161,4.6010384e-05
60,2022-09-02,P1,A,0.39655173,6.213149e-05
61,2022-09-03,P1,A,0.43678162,7.222715e-05
62,2022-09-04,P1,A,0.3678161,6.180898e-05
63,2022-09-05,P1,A,0.35632184,6.122143e-05
64,2022-09-06,P1,A,0.41954023,5.968028e-05
65,2022-09-07,P1,A,0.3505747,6.404163e-05
66,2022-09-08,P1,A,0.40229884,6.135985e-05
67,2022-09-09,P1,A,0.44827586,6.7253764e-05
68,2022-09-12,P1,A,0.3275862,4.9689927e-05
0,2022-06-28,P8,B,0.25,3.193126e-05
1,2022-06-29,P8,B,0.22137405,2.7365086e-05
2,2022-06-30,P8,B,0.23091602,2.8509945e-05
3,2022-07-01,P8,B,0.28435114,3.1802763e-05
4,2022-07-02,P8,B,0.27099237,3.146687e-05
5,2022-07-03,P8,B,0.26717559,3.423036e-05
6,2022-07-04,P8,B,0.26908398,3.173218e-05
7,2022-07-05,P8,B,0.30343512,3.7870985e-05
8,2022-07-06,P8,B,0.32633588,3.686366e-05
9,2022-07-07,P8,B,0.36450383,4.136585e-05
10,2022-07-08,P8,B,0.32061067,3.4011173e-05
11,2022-07-09,P8,B,0.2977099,3.6794758e-05
12,2022-07-10,P8,B,0.34541985,4.2334075e-05
13,2022-07-11,P8,B,0.33015266,4.1034633e-05
14,2022-07-12,P8,B,0.24809161,2.7758615e-05
15,2022-07-13,P8,B,0.2557252,3.045831e-05
16,2022-07-15,P8,B,0.21946564,2.4876155e-05
17,2022-07-16,P8,B,0.21946564,2.4971005e-05
