,date,chain,provider,total_relays,nodes_staked,total_sessions
0,2022-06-28,0009,P1,1886076,145,79
75,2022-06-28,0027,P9,170070,628,109
74,2022-06-28,0027,P8,748042,1006,420
73,2022-06-28,0027,P5,19092448,7694,3007
72,2022-06-28,0027,P4,8060681,2845,1430
71,2022-06-28,0027,P13,20371,245,113
70,2022-06-28,0027,P12,146388,1602,798
69,2022-06-28,0027,P11,945204,218,113
68,2022-06-28,0027,P7,578640,101,53
67,2022-06-28,0027,P6,4157436,919,479
66,2022-06-28,0027,P2,860925,255,115
76,2022-06-28,0027,P10,22170,341,137
65,2022-06-28,0027,P1,758237,145,74
63,2022-06-28,0021,P10,278634,437,133
62,2022-06-28,0021,P9,294829,628,71
61,2022-06-28,0021,P8,1436881,1006,331
60,2022-06-28,0021,P5,11808083,7694,2577
59,2022-06-28,0021,P4,4105290,2845,1177
58,2022-06-28,0021,P13,514891,245,102
57,2022-06-28,0021,P12,2888701,1602,616
56,2022-06-28,0021,P11,514427,218,98
55,2022-06-28,0021,P7,209566,101,41
54,2022-06-28,0021,P6,1871071,919,380
64,2022-06-28,0021,P14,2905356,949,404
78,2022-06-28,03DF,P1,40914,145,27
79,2022-06-28,03DF,P2,86174,255,67
80,2022-06-28,03DF,P6,206282,0,180
103,2022-06-28,0005,P14,1313450,949,195
102,2022-06-28,0005,P10,385415,435,57
101,2022-06-28,0005,P9,249065,628,42
100,2022-06-28,0005,P8,1119966,1006,170
99,2022-06-28,0005,P5,0,0,0
98,2022-06-28,0005,P4,2049565,2845,588
97,2022-06-28,0005,P13,266662,245,45
96,2022-06-28,0005,P12,2144013,1602,376
95,2022-06-28,0005,P11,201968,218,45
94,2022-06-28,0005,P7,66818,101,15
93,2022-06-28,0005,P6,844687,919,191
92,2022-06-28,0005,P2,650741,255,80
91,2022-06-28,0005,P1,232129,145,35
90,2022-06-28,03DF,P14,297048,949,217
89,2022-06-28,03DF,P10,5011,94,10
88,2022-06-28,03DF,P9,0,0,0
87,2022-06-28,03DF,P8,0,0,0
86,2022-06-28,03DF,P5,0,0,0
85,2022-06-28,03DF,P4,295430,2833,663
84,2022-06-28,03DF,P13,62344,245,62
83,2022-06-28,03DF,P12,323834,1602,331
82,2022-06-28,03DF,P11,61636,212,47
81,2022-06-28,03DF,P7,19154,0,16
53,2022-06-28,0021,P2,816530,255,115
52,2022-06-28,0021,P1,421870,145,57
77,2022-06-28,0027,P14,4936712,949,468
50,2022-06-28,0049,P10,669605,341,70
23,2022-06-28,0040,P9,1288169,628,89
22,2022-06-28,0040,P8,6290097,1006,440
21,2022-06-28,0040,P5,35375100,7694,2995
20,2022-06-28,0040,P4,15588222,2845,1371
19,2022-06-28,0040,P13,2067156,245,122
18,2022-06-28,0040,P12,12585302,1602,754
17,2022-06-28,0040,P11,2193166,218,123
16,2022-06-28,0040,P7,1169517,101,55
15,2022-06-28,0040,P6,7803516,919,408
13,2022-06-28,0040,P1,1664315,145,71
12,2022-06-28,0009,P14,13105874,949,506
11,2022-06-28,0009,P10,1907634,437,142
10,2022-06-28,0009,P9,842409,457,64
9,2022-06-28,0009,P8,6879625,986,470
8,2022-06-28,0009,P5,40418912,7693,3058
7,2022-06-28,0009,P4,20728084,2842,1468
6,2022-06-28,0009,P13,1767933,245,136
5,2022-06-28,0009,P12,10397609,1602,803
4,2022-06-28,0009,P11,2020671,217,102
3,2022-06-28,0009,P7,1261515,101,58
2,2022-06-28,0009,P6,8310582,919,451
1,2022-06-28,0009,P2,3146270,255,126
51,2022-06-28,0049,P14,3200983,949,289
24,2022-06-28,0040,P10,2019565,437,155
25,2022-06-28,0040,P14,11329710,949,463
14,2022-06-28,0040,P2,2900291,255,124
49,2022-06-28,0049,P9,63630,87,6
26,2022-06-28,0004,P1,261788,145,15
48,2022-06-28,0049,P8,757181,524,131
47,2022-06-28,0049,P5,10817821,7690,1824
46,2022-06-28,0049,P4,1169357,1879,464
45,2022-06-28,0049,P13,301164,245,68
44,2022-06-28,0049,P12,2003524,1602,416
43,2022-06-28,0049,P11,884605,213,66
41,2022-06-28,0049,P6,3095595,919,238
40,2022-06-28,0049,P2,1265458,255,86
39,2022-06-28,0049,P1,562300,145,47
38,2022-06-28,0004,P14,2114124,949,127
42,2022-06-28,0049,P7,447894,101,25
36,2022-06-28,0004,P9,480054,628,30
27,2022-06-28,0004,P2,19232,255,35
37,2022-06-28,0004,P10,0,0,0
29,2022-06-28,0004,P7,292499,101,15
30,2022-06-28,0004,P11,562267,215,30
31,2022-06-28,0004,P12,3311459,1602,261
28,2022-06-28,0004,P6,3527049,919,150
33,2022-06-28,0004,P4,0,0,0
34,2022-06-28,0004,P5,10415124,7674,939
35,2022-06-28,0004,P8,1782820,1006,119
32,2022-06-28,0004,P13,525531,245,41
171,2022-06-29,0027,P6,5192850,924,450
180,2022-06-29,0027,P10,26668,341,142
179,2022-06-29,0027,P9,161533,628,95
178,2022-06-29,0027,P8,635652,1006,413
